,index,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_location,dropoff_location,pickup_day,dropoff_day,pickup_timezone,dropoff_timezone
0,1405760,id0313305,1,2016-01-29 10:59:31,2016-01-29 11:18:55,1,-73.96206665039062,40.76771545410156,-73.98456573486328,40.74867630004883,N,1164,Manhattan,Long Island City,Friday,Friday,midday,midday
1,1357829,id1633637,2,2016-03-08 07:19:51,2016-03-08 07:28:23,1,-73.97310638427734,40.75762939453125,-73.98318481445312,40.76919937133789,N,512,Manhattan,Manhattan,Tuesday,Tuesday,morning,morning
2,44557,id0064284,1,2016-01-26 10:36:18,2016-01-26 11:55:11,1,-73.86359405517578,40.769630432128906,-73.97989654541014,40.765403747558594,N,4733,The Bronx,Manhattan,Tuesday,Tuesday,midday,midday
3,148474,id1885360,1,2016-04-29 12:30:19,2016-04-29 12:57:57,3,-73.96765899658203,40.802330017089844,-73.86495971679686,40.770484924316406,N,1658,Manhattan,The Bronx,Friday,Friday,midday,midday
4,436146,id0130391,1,2016-02-14 14:41:37,2016-02-14 14:54:22,1,-73.96868133544923,40.75503158569336,-73.98551177978516,40.75661849975585,N,765,Long Island City,Manhattan,Sunday,Sunday,midday,midday
5,1088891,id0753316,1,2016-06-04 00:15:44,2016-06-04 00:32:42,2,-73.985107421875,40.72751998901367,-73.99602508544923,40.72023391723633,N,1018,New York City,New York City,Saturday,Saturday,late night,late night
6,462129,id2973965,1,2016-03-23 22:21:30,2016-03-23 22:34:23,2,-73.99712371826173,40.73152542114258,-73.97826385498048,40.75129318237305,N,773,New York City,Long Island City,Wednesday,Wednesday,late night,late night
7,650662,id3322323,1,2016-05-16 23:12:58,2016-05-16 23:39:16,1,-73.86345672607422,40.76997375488281,-73.98055267333984,40.75580978393555,N,1578,The Bronx,Manhattan,Monday,Monday,late night,late night
8,474265,id0486091,2,2016-02-27 00:34:13,2016-02-27 00:45:30,1,-73.99189758300781,40.72723007202149,-74.00572967529298,40.735931396484375,N,677,New York City,New York City,Saturday,Saturday,late night,late night
9,585947,id0094590,1,2016-03-05 22:15:03,2016-03-05 22:17:55,2,-73.95291137695312,40.782981872558594,-73.95641326904298,40.77553939819336,N,172,Manhattan,Manhattan,Saturday,Saturday,late night,late night
10,258896,id0334416,1,2016-02-04 22:05:42,2016-02-04 22:12:35,1,-74.00822448730467,40.73740768432617,-74.00143432617188,40.723876953125,N,413,New York City,New York City,Thursday,Thursday,late night,late night
11,1450923,id1186070,1,2016-01-28 21:16:27,2016-01-28 21:31:42,2,-73.9900131225586,40.74190139770508,-73.99966430664062,40.71536254882813,N,915,New York City,New York City,Thursday,Thursday,evening,evening
12,877902,id2574150,1,2016-06-08 08:21:44,2016-06-08 08:31:47,1,-74.01026916503906,40.71371841430664,-74.01349639892578,40.70324325561523,N,603,New York City,New York City,Wednesday,Wednesday,morning,morning
13,866047,id3426411,1,2016-04-10 15:35:10,2016-04-10 15:39:19,3,-74.00621032714845,40.733154296875,-73.9990692138672,40.744476318359375,N,249,New York City,New York City,Sunday,Sunday,midday,midday
14,556693,id1389787,1,2016-03-31 13:39:46,2016-03-31 13:55:18,1,-73.9793701171875,40.75881576538085,-73.96902465820312,40.76499938964844,N,932,Manhattan,Manhattan,Thursday,Thursday,midday,midday
15,1103151,id0617098,1,2016-06-19 12:34:14,2016-06-19 12:38:09,2,-73.9412841796875,40.81380462646485,-73.95001983642578,40.81298828125,N,235,Edgewater,Edgewater,Sunday,Sunday,midday,midday
16,771731,id3115142,1,2016-06-17 09:37:02,2016-06-17 09:43:00,1,-74.01187133789062,40.71354675292969,-74.00697326660156,40.728191375732415,N,358,New York City,New York City,Friday,Friday,morning,morning
17,1049519,id0672802,1,2016-02-01 06:58:21,2016-02-01 07:59:47,2,-73.77674865722656,40.64537048339844,-73.9338607788086,40.85100936889648,N,3686,Inwood,Inwood,Monday,Monday,morning,morning
18,493163,id1876028,2,2016-04-27 22:54:09,2016-04-27 22:57:38,1,-73.98783111572266,40.71929168701172,-73.981201171875,40.72195053100585,N,209,New York City,New York City,Wednesday,Wednesday,late night,late night
19,1296893,id2777196,1,2016-06-08 10:26:13,2016-06-08 10:56:37,1,-73.99777221679686,40.740970611572266,-74.01143646240234,40.70375442504883,N,1824,New York City,New York City,Wednesday,Wednesday,midday,midday
20,1279748,id3993927,1,2016-02-07 07:04:23,2016-02-07 07:23:03,1,-73.95682525634766,40.74564743041992,-73.7830810546875,40.64387893676758,N,1120,Long Island City,Inwood,Sunday,Sunday,morning,morning
21,34920,id2521527,1,2016-02-22 21:28:20,2016-02-22 21:36:39,1,-73.98521423339844,40.7489128112793,-73.98348999023438,40.76053237915039,N,499,Long Island City,Manhattan,Monday,Monday,evening,evening
22,332685,id2434798,1,2016-05-26 05:59:17,2016-05-26 06:05:21,1,-73.95510864257811,40.77312088012695,-73.96163177490234,40.757625579833984,N,364,Manhattan,Long Island City,Thursday,Thursday,morning,morning
23,818386,id1021172,1,2016-06-27 06:39:02,2016-06-27 07:23:43,2,-73.78189086914062,40.644615173339844,-73.90204620361328,40.750675201416016,N,2681,Inwood,Long Island City,Monday,Monday,morning,morning
24,1229795,id1581037,2,2016-04-23 20:07:12,2016-04-23 20:11:08,1,-74.0047607421875,40.74684143066406,-73.99289703369139,40.741981506347656,N,236,Weehawken,New York City,Saturday,Saturday,evening,evening
25,86509,id0812091,2,2016-05-10 18:24:06,2016-05-10 18:31:24,1,-73.96172332763672,40.77458190917969,-73.96027374267578,40.76586151123047,N,438,Manhattan,Manhattan,Tuesday,Tuesday,evening,evening
26,1152265,id3503215,2,2016-03-15 15:27:14,2016-03-15 15:29:53,5,-73.97222900390625,40.79398727416992,-73.97042846679686,40.80148315429688,N,159,Manhattan,Manhattan,Tuesday,Tuesday,midday,midday
27,193588,id1556656,1,2016-04-09 15:47:54,2016-04-09 15:53:15,1,-73.95925903320312,40.79934310913085,-73.97200775146483,40.79228210449219,N,321,Manhattan,Manhattan,Saturday,Saturday,midday,midday
28,450339,id1777379,1,2016-03-15 07:58:39,2016-03-15 08:24:51,1,-73.97940063476562,40.7545166015625,-73.87286376953125,40.77434158325195,N,1572,Manhattan,The Bronx,Tuesday,Tuesday,morning,morning
29,287849,id1948235,1,2016-05-23 09:37:30,2016-05-23 09:48:34,1,-73.99600219726562,40.73283004760742,-74.0040054321289,40.74776077270508,N,664,New York City,Weehawken,Monday,Monday,morning,morning
30,612729,id2656813,1,2016-02-20 02:04:47,2016-02-20 02:17:31,1,-73.98868560791014,40.71879959106445,-73.9822998046875,40.74275207519531,N,764,New York City,Long Island City,Saturday,Saturday,late night,late night
31,1020160,id1366305,2,2016-06-09 07:45:29,2016-06-09 08:05:12,5,-74.00274658203125,40.73382568359375,-73.97176361083984,40.76328659057617,N,1183,New York City,Manhattan,Thursday,Thursday,morning,morning
32,1419544,id2899289,1,2016-01-06 00:53:09,2016-01-06 00:57:47,1,-73.98550415039062,40.75946044921875,-73.98455047607422,40.76850128173828,N,278,Manhattan,Manhattan,Wednesday,Wednesday,late night,late night
33,563185,id3669600,2,2016-04-20 07:21:10,2016-04-20 07:30:15,3,-73.979248046875,40.734771728515625,-73.97067260742188,40.753639221191406,N,545,Long Island City,Long Island City,Wednesday,Wednesday,morning,morning
34,787362,id1647506,1,2016-02-13 23:15:26,2016-02-13 23:18:54,1,-73.95941162109375,40.76749038696289,-73.95780944824219,40.773399353027344,N,208,Manhattan,Manhattan,Saturday,Saturday,late night,late night
35,290953,id3814623,1,2016-06-17 19:55:58,2016-06-17 20:03:36,1,-73.9474105834961,40.78392028808594,-73.96319580078125,40.761882781982415,N,458,Manhattan,Manhattan,Friday,Friday,evening,evening
36,1002562,id3764797,1,2016-03-16 23:46:59,2016-03-16 23:53:17,1,-73.98110961914062,40.763687133789055,-73.97264099121094,40.74927520751953,N,378,Manhattan,Long Island City,Wednesday,Wednesday,late night,late night
37,890400,id2248701,1,2016-03-13 14:23:24,2016-03-13 14:36:21,2,-73.9553985595703,40.773582458496094,-73.9807891845703,40.78087615966797,N,777,Manhattan,Manhattan,Sunday,Sunday,midday,midday
38,585937,id1052673,2,2016-04-16 20:51:15,2016-04-16 21:05:14,1,-74.00516510009766,40.715476989746094,-73.98255920410156,40.738712310791016,N,839,New York City,New York City,Saturday,Saturday,evening,evening
39,970262,id3184807,1,2016-06-24 22:56:23,2016-06-24 23:17:33,1,-73.98663330078125,40.70151901245117,-73.96456146240234,40.68183898925781,N,1270,New York City,Brooklyn,Friday,Friday,late night,late night
40,608346,id2451608,1,2016-05-15 14:27:40,2016-05-15 14:36:21,1,-73.96417999267578,40.7677116394043,-73.9771728515625,40.77779769897461,N,521,Manhattan,Manhattan,Sunday,Sunday,midday,midday
41,1188307,id2463710,1,2016-03-06 05:53:45,2016-03-06 05:58:14,1,-73.97789764404298,40.7522850036621,-73.99513244628906,40.76005935668945,N,269,Long Island City,Weehawken,Sunday,Sunday,morning,morning
42,6388,id1945953,2,2016-02-18 23:33:43,2016-02-18 23:45:07,2,-73.78933715820312,40.64717864990234,-73.83393859863281,40.67901992797852,N,684,Jamaica,Borough of Queens,Thursday,Thursday,late night,late night
